,Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
0,1.0,0.9759700939597324,54.994933677229184,0.9240393713993185,61.06617647058823
1,2.0,0.8942929934559276,64.43901989683124,0.8894382769570631,64.43014705882354
2,3.0,0.8437881330707623,69.77708179808401,0.887017848386484,64.81617647058823
3,4.0,0.8008298051866786,74.3045320560059,0.8915139005464666,64.30147058823529
4,5.0,0.7692462051714178,77.68515106853353,0.8937051382134943,64.19117647058823
5,6.0,0.7491202334226188,79.83833824613117,0.909152435204562,62.849264705882355
6,7.0,0.7349995726289869,81.3927781871776,0.8997327704639996,63.87867647058823
7,8.0,0.7239194648970377,82.45440309506264,0.8964042439180262,64.375
8,9.0,0.7113626665197582,83.76934414148857,0.8903706341981887,64.94485294117646
9,10.0,0.7037836407683927,84.57535003684599,0.8946292759741054,64.70588235294117
10,11.0,0.695836015391543,85.36063006632277,0.8938711271566503,64.70588235294117
