,Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
0,1.0,1.5841407714824776,44.82083640383198,1.5190522267537958,51.783088235294116
1,2.0,1.502424422440146,53.66387251289609,1.4789216469315922,55.68014705882353
2,3.0,1.4702783898562304,56.88098747236551,1.4747841691269594,56.029411764705884
3,4.0,1.4518974624140437,58.81540162122329,1.478980602236355,55.56985294117647
4,5.0,1.444886432031366,59.568441414885775,1.4829048104145948,55.3125
5,6.0,1.4302534400845768,60.95246868091378,1.4799614089376787,55.49632352941177
6,7.0,1.4194276415432034,61.92658437730287,1.4839805974679834,54.79779411764706
7,8.0,1.410101828060347,62.92372881355932,1.4804681385264677,55.42279411764706
8,9.0,1.3962214114302296,64.50350036845984,1.490360993497512,54.26470588235294
9,10.0,1.3879171731547564,65.36247236551216,1.4801029538407044,55.404411764705884
10,11.0,1.3766137367236588,66.49778924097274,1.491031749458874,54.43014705882353
