,Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
0,1.0,1.553137942588584,48.28896462785556,1.5331457744626438,50.05514705882353
1,2.0,1.4927888755949439,54.700165806927046,1.495854258186677,53.529411764705884
2,3.0,1.465714848779455,57.424465733235074,1.5026565846274882,52.775735294117645
3,4.0,1.4439868769754622,59.61910464259396,1.4960466447998495,53.86029411764706
4,5.0,1.4225073364084928,61.65484524686809,1.513196120893254,51.783088235294116
5,6.0,1.3978540261352246,64.22485261606485,1.5049904108047485,52.481617647058826
6,7.0,1.3764065470252744,66.42640014738393,1.5088164220837985,52.24264705882353
7,8.0,1.356362161736499,68.44832350773765,1.5046329466735615,52.70220588235294
8,9.0,1.3362004319885328,70.45642962417097,1.5036916876540465,52.8125
9,10.0,1.3133588313792854,72.85141857037583,1.504607519682716,52.61029411764706
10,11.0,1.2967612695061466,74.49567059690494,1.5042152117280398,52.86764705882353
11,12.0,1.2804942749490085,76.11228813559322,1.5041049245525808,52.8860294117647
