,Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
0,1.0,1.569392507622676,46.345338983050844,1.520872767532573,50.88235294117647
1,2.0,1.5096402872812247,52.8325350036846,1.4935530571376576,53.32720588235294
2,3.0,1.4801941322068037,55.932203389830505,1.482309419968549,54.411764705882355
3,4.0,1.460757948233085,57.84358879882093,1.4765825867652893,55.294117647058826
4,5.0,1.4427019319906775,59.80333456153279,1.4755932569503785,55.404411764705884
5,6.0,1.4317100027860221,60.680729550479,1.477101828070248,55.2389705882353
6,7.0,1.4200828679800912,61.81834929992631,1.4763815970981822,55.16544117647059
7,8.0,1.4046292180248983,63.56623065585851,1.4705868054838742,55.56985294117647
8,9.0,1.3932190819004484,64.69233603537215,1.4806612933383267,54.6875
9,10.0,1.3796411539230966,66.05794030950626,1.4779281840604894,55.220588235294116
10,11.0,1.3718270981408431,66.83170596904938,1.4691179142278783,55.88235294117647
11,12.0,1.3645215551029168,67.54559690493736,1.4695190198281232,55.80882352941177
12,13.0,1.3544169530854475,68.54504421518054,1.4670734503689935,56.10294117647059
13,14.0,1.3437403441353941,69.67575534266764,1.4828389567487381,54.43014705882353
14,15.0,1.3360406334293002,70.45642962417097,1.4720033912097708,55.6985294117647
15,16.0,1.3243948291484802,71.66083271923361,1.4716563743703506,55.625
16,17.0,1.3174906410359246,72.33787767133383,1.4737203289480771,55.42279411764706
17,18.0,1.3110161550623052,72.99419675755342,1.4729638197842767,55.49632352941177
18,19.0,1.3040938135799276,73.69196757553426,1.470004945642808,55.75367647058823
19,20.0,1.2967202736335197,74.43349299926308,1.4642681619700264,56.50735294117647
20,21.0,1.2898738528317006,75.14508106116433,1.4710962583036984,55.73529411764706
21,22.0,1.2864157926886943,75.47899778924098,1.4807786962565255,54.6875
22,23.0,1.2823531423848433,75.91193809874724,1.468499323199777,56.06617647058823
23,24.0,1.276614522442013,76.5014738393515,1.4773913369459264,55.220588235294116
24,25.0,1.2704933389812685,77.09561532792925,1.4700178763445686,55.716911764705884
25,26.0,1.2668106713186051,77.4617722918202,1.4679928078370936,56.10294117647059
26,27.0,1.261864519066554,77.97070744288872,1.465574963653789,56.41544117647059
27,28.0,1.259188282287727,78.17336035372145,1.467809846120722,56.13970588235294
